Year,Month,ProductName,Product_Code,Price,Lag_1,Lag_2,Predicted_Units,Recommended_Inventory,Risk
2026,4,Agoviz,6,4148578.78200004,5872,5412.0,5486.369942404007,6857.962428005008,Stable
2026,1,Aircare,7,871.8,2,4.0,211.30574668041982,264.13218335052477,Overstock
2026,2,Aircare,7,871.8,2,4.0,317.3306196957791,396.6632746197239,Overstock
2026,3,Aircare,7,871.8,2,4.0,383.3872359328371,479.23404491604634,Overstock
2026,4,Aircare,7,871.8,2,4.0,-66.28901397727334,-82.86126747159167,Overstock
2026,1,Aircare Plus,8,2285458.75229998,6022,3438.0,5891.042797450465,7363.8034968130805,Stock-out
2026,2,Aircare Plus,8,2285458.75229998,6022,3438.0,5680.06099276795,7100.076240959937,Stock-out
2026,3,Aircare Plus,8,2285458.75229998,6022,3438.0,5746.117609005008,7182.647011256259,Stock-out
2026,4,Aircare Plus,8,2285458.75229998,6022,3438.0,5193.167701429818,6491.459626787273,Stock-out
2026,1,Aireez,9,19805139.9270001,35563,34925.0,37374.12801545203,46717.66001931504,Stock-out
2026,2,Aireez,9,19805139.9270001,35563,34925.0,35711.85636025468,44639.82045031835,Stock-out
2026,3,Aireez,9,19805139.9270001,35563,34925.0,35777.91297649173,44722.39122061466,Stock-out
2026,4,Aireez,9,19805139.9270001,35563,34925.0,35224.96306891654,44031.20383614568,Stock-out
2026,1,Anex-M,10,684955.979399993,2069,2634.0,1669.3029257500516,2086.6286571875644,Overstock
2026,2,Anex-M,10,684955.979399993,2069,2634.0,1458.3211210675358,1822.90140133442,Overstock
2026,3,Anex-M,10,684955.979399993,2069,2634.0,1524.3777373045941,1905.4721716307427,Overstock
2026,4,Anex-M,10,684955.979399993,2069,2634.0,971.4278297294048,1214.284787161756,Overstock
2026,1,Anplag,11,48190071.6575,34970,30429.0,38112.152760061006,47640.190950076256,Stock-out
2026,2,Anplag,11,48190071.6575,34970,30429.0,33954.01747730797,42442.52184663496,Stock-out
2026,3,Anplag,11,48190071.6575,34970,30429.0,34020.07409354502,42525.09261693128,Stock-out
2026,4,Anplag,11,48190071.6575,34970,30429.0,33467.124185969835,41833.90523246229,Stock-out
2026,1,Arbi,12,4474976.5383,13152,11304.0,12063.613797362901,15079.517246703626,Stable
2026,2,Arbi,12,4474976.5383,13152,11304.0,11527.052393015056,14408.815491268819,Stable
2026,3,Arbi,12,4474976.5383,13152,11304.0,11593.109009252115,14491.386261565145,Stable
2026,4,Arbi,12,4474976.5383,13152,11304.0,11040.159101676922,13800.198877096153,Stable
2026,1,Arbi-A,13,1275002.03269999,4955,3159.0,3818.870302124319,4773.587877655399,Stable
2026,2,Arbi-A,13,1275002.03269999,4955,3159.0,3607.888497441804,4509.860621802255,Stable
